horizon_hours,feature,importance
8,R/W FLOW,0.0024032958317548037
8,R_W_FLOW_ROLL_STD_12H,0.0022437856532633305
8,ALUM_LAG_10H,0.0017698457231745124
8,COS_MONTH,0.0012821038253605366
8,R/W PH,0.0
8,NTU_WAS_RECURSIVELY_FILLED,0.0
8,ALUM_LAG_6H,0.0
8,ALUM_LAG_18H,0.0
10,NTU_ROLL_MEAN_12H,0.057387616485357285
10,FILT_NTU_LAG_4H,0.05381261557340622
10,NTU_LAG_4H,0.0517258495092392
10,ALUM_ROLL_STD_12H,0.04194403439760208
10,NTU_LAG_2H,0.03739259019494057
10,SIN_MONTH,0.03469218313694
10,FILT_NTU_LAG_6H,0.0324406772851944
10,ALUM_LAG_24H,0.029258543625473976
10,ALUM,0.029025325551629066
10,FILT_NTU_LAG_10H,0.02334984578192234
10,R_W_FLOW_LAG_24H,0.02214503288269043
10,R_W_FLOW_LAG_12H,0.02060091681778431
10,FILT. NTU,0.0198855958878994
10,NTU_ROLL_STD_12H,0.018718482926487923
10,ALUM_ROLL_MEAN_12H,0.018686708062887192
10,RTD_FILT_NTU,0.01843870058655739
10,R_W_FLOW_LAG_10H,0.01784713752567768
10,FILT_NTU_ROLL_STD_12H,0.0178008321672678
10,ALUM_LAG_8H,0.01684265397489071
10,R_W_NTU_LAG_24H,0.01672936975955963
10,FILT_NTU_LAG_2H,0.016683807596564293
10,R_W_NTU_ROLL_MEAN_12H,0.01612279936671257
10,NTU_LAG_24H,0.01603085733950138
10,ALUM_LAG_2H,0.016020918264985085
10,R_W_NTU_LAG_2H,0.015499591827392578
10,NTU_LAG_8H,0.015471052378416061
10,R_W_FLOW_LAG_18H,0.014510422013700008
10,R_W_FLOW_LAG_4H,0.01295706257224083
10,R/W NTU,0.012272634543478489
10,R_W_FLOW_LAG_8H,0.012090076692402363
10,R_W_FLOW_LAG_6H,0.012084940448403358
10,R/W CLR,0.011963487602770329
10,R_W_NTU_LAG_18H,0.01190267875790596
10,NTU_DIFF_2H,0.011580949649214745
10,FILT_NTU_DIFF_2H,0.011480332352221012
10,R_W_NTU_LAG_10H,0.01074464526027441
10,FILT_NTU_LAG_12H,0.010598484426736832
10,RTD_ALUM,0.01022848766297102
10,NTU_LAG_12H,0.009883236140012741
10,R_W_NTU_LAG_4H,0.009770669043064117
10,NTU_LAG_6H,0.009623809717595577
10,R_W_FLOW_ROLL_MEAN_12H,0.009574180468916893
10,COS_HOUR,0.00953986868262291
10,FILT_NTU_LAG_8H,0.009044649079442024
10,FILT_NTU_LAG_24H,0.008005580864846706
10,R_W_NTU_ROLL_STD_12H,0.007815859280526638
10,R_W_NTU_LAG_6H,0.00771783571690321
10,SIN_HOUR,0.0076958113349974155
10,RTD_TAU_HOURS,0.007621281780302525
10,NTU_LAG_10H,0.007086964789777994
10,RTD_R_W_NTU,0.007005460560321808
10,C/W WELL LEVEL,0.0069182557053864
10,RTD_NTU,0.006427808664739132
10,PHYS_BASE_NTU,0.006233778782188892
10,NTU_LAG_18H,0.005984846036881208
10,R_W_NTU_DIFF_2H,0.005545290187001228
10,RIVER LEVEL,0.005273543763905764
10,FILT_NTU_ROLL_MEAN_12H,0.004869273863732815
10,R_W_FLOW_ROLL_STD_12H,0.0047305068001151085
10,FILT_NTU_LAG_18H,0.004516922868788242
10,R_W_FLOW_LAG_2H,0.004164279904216528
10,R_W_NTU_LAG_12H,0.00394671643152833
10,R/W FLOW,0.003945152275264263
10,R_W_NTU_LAG_8H,0.003603758057579398
10,R_W_FLOW_DIFF_2H,0.0030791861936450005
10,COS_MONTH,0.0016548370476812124
10,ALUM_LAG_12H,0.0012755244970321655
10,ALUM_LAG_10H,0.0004772262182086706
10,R/W PH,0.0
10,NTU_WAS_RECURSIVELY_FILLED,0.0
10,ALUM_LAG_4H,0.0
10,ALUM_LAG_6H,0.0
10,ALUM_LAG_18H,0.0
10,ALUM_DIFF_2H,0.0
12,FILT_NTU_LAG_4H,0.08175072073936462
12,NTU_ROLL_MEAN_12H,0.050828587263822556
12,FILT_NTU_LAG_6H,0.03979424014687538
12,ALUM,0.03864455595612526
12,RTD_NTU,0.0329018160700798
12,NTU_LAG_2H,0.02963983453810215
12,R_W_FLOW_LAG_12H,0.029179900884628296
12,SIN_MONTH,0.02786918543279171
12,R_W_FLOW_LAG_24H,0.027862820774316788
12,SIN_HOUR,0.026387372985482216
12,FILT. NTU,0.024051502346992493
12,PHYS_BASE_NTU,0.022023864090442657
12,R_W_NTU_ROLL_MEAN_12H,0.021736430004239082
12,FILT_NTU_ROLL_MEAN_12H,0.02140887826681137
12,NTU_ROLL_STD_12H,0.020605288445949554
12,FILT_NTU_LAG_8H,0.020471306517720222
12,RTD_FILT_NTU,0.02029944770038128
12,FILT_NTU_LAG_2H,0.0201298538595438
12,R_W_FLOW_LAG_18H,0.01975134015083313
12,R_W_FLOW_LAG_10H,0.018140511587262154
12,RTD_ALUM,0.01753450185060501
12,NTU_LAG_24H,0.016605950891971588
12,R_W_FLOW_LAG_2H,0.015998851507902145
12,NTU_LAG_4H,0.015970060601830482
12,FILT_NTU_LAG_24H,0.01585252955555916
12,ALUM_ROLL_STD_12H,0.015342297032475471
12,C/W WELL LEVEL,0.014930971898138523
12,FILT_NTU_ROLL_STD_12H,0.013585500419139862
12,R_W_NTU_LAG_24H,0.013409280218183994
12,R_W_NTU_LAG_18H,0.013383223675191402
12,R_W_FLOW_LAG_8H,0.01291459146887064
12,R_W_FLOW_LAG_6H,0.01252174936234951
12,ALUM_LAG_24H,0.01243878435343504
12,NTU_DIFF_2H,0.012072188779711723
12,R_W_NTU_DIFF_2H,0.011318683624267578
12,R/W FLOW,0.010674580931663513
12,R_W_NTU_LAG_6H,0.010615745559334755
12,FILT_NTU_LAG_10H,0.00951969064772129
12,FILT_NTU_DIFF_2H,0.009017843753099442
12,R_W_NTU_LAG_4H,0.008979120291769505
12,R_W_NTU_LAG_8H,0.008750028908252716
12,NTU_LAG_18H,0.008747856132686138
12,RIVER LEVEL,0.008300135843455791
12,NTU_LAG_10H,0.008243270218372345
12,R_W_FLOW_ROLL_MEAN_12H,0.007690016180276871
12,R_W_NTU_ROLL_STD_12H,0.007183652371168137
12,R/W NTU,0.0071510677225887775
12,NTU_LAG_8H,0.0070471856743097305
12,R_W_NTU_LAG_12H,0.006148527376353741
12,RTD_TAU_HOURS,0.006098303012549877
12,NTU_LAG_6H,0.005945517215877771
12,FILT_NTU_LAG_12H,0.005836967378854752
12,NTU_LAG_12H,0.005704385694116354
12,R_W_FLOW_LAG_4H,0.005557198077440262
12,RTD_R_W_NTU,0.005386056378483772
12,R_W_FLOW_ROLL_STD_12H,0.004943815991282463
12,R_W_NTU_LAG_10H,0.0049083037301898
12,COS_HOUR,0.004656708333641291
12,R_W_FLOW_DIFF_2H,0.0045740739442408085
12,FILT_NTU_LAG_18H,0.004404881037771702
12,R/W CLR,0.0043154191225767136
12,R_W_NTU_LAG_2H,0.0030903120059520006
12,ALUM_LAG_4H,0.002248873934149742
12,COS_MONTH,0.002182760275900364
12,ALUM_LAG_8H,0.0017645547632128
12,ALUM_ROLL_MEAN_12H,0.0015598258469253778
12,ALUM_LAG_6H,0.0009288500878028572
12,ALUM_LAG_12H,0.00046785775339230895
12,R/W PH,0.0
12,NTU_WAS_RECURSIVELY_FILLED,0.0
12,ALUM_LAG_2H,0.0
12,ALUM_LAG_10H,0.0
12,ALUM_LAG_18H,0.0
12,ALUM_DIFF_2H,0.0
