origin_datetime,horizon_hours,scenario,predicted_NTU,delta_vs_baseline,elasticity
2026-02-20 07:00:00,2,raw_NTU_plus_20pct,0.16064487397670746,0.0,0.0
2026-02-20 07:00:00,2,raw_NTU_plus_50pct,0.16064487397670746,0.0,0.0
2026-02-20 07:00:00,2,alum_plus_10pct,0.16064487397670746,0.0,0.0
2026-02-20 07:00:00,2,alum_minus_10pct,0.16064487397670746,0.0,-0.0
2026-02-20 07:00:00,4,baseline,0.16200952231884003,0.0,
2026-02-20 07:00:00,4,raw_NTU_plus_20pct,0.16200952231884003,0.0,0.0
2026-02-20 07:00:00,4,raw_NTU_plus_50pct,0.16200952231884003,0.0,0.0
2026-02-20 07:00:00,4,alum_plus_10pct,0.16200952231884003,0.0,0.0
2026-02-20 07:00:00,4,alum_minus_10pct,0.16200952231884003,0.0,-0.0
2026-02-20 07:00:00,6,baseline,0.17297224700450897,0.0,
2026-02-20 07:00:00,6,raw_NTU_plus_20pct,0.17297224700450897,0.0,0.0
2026-02-20 07:00:00,6,raw_NTU_plus_50pct,0.17297224700450897,0.0,0.0
2026-02-20 07:00:00,6,alum_plus_10pct,0.17297224700450897,0.0,0.0
2026-02-20 07:00:00,6,alum_minus_10pct,0.17297224700450897,0.0,-0.0
2026-02-20 07:00:00,8,baseline,0.17790690064430237,0.0,
2026-02-20 07:00:00,8,raw_NTU_plus_20pct,0.17790690064430237,0.0,0.0
2026-02-20 07:00:00,8,raw_NTU_plus_50pct,0.1781638264656067,0.0002569258213043213,0.002888317657986805
2026-02-20 07:00:00,8,alum_plus_10pct,0.17790690064430237,0.0,0.0
2026-02-20 07:00:00,8,alum_minus_10pct,0.17790690064430237,0.0,-0.0
2026-02-20 07:00:00,10,baseline,0.16826072335243225,0.0,
2026-02-20 07:00:00,10,raw_NTU_plus_20pct,0.16826072335243225,0.0,0.0
2026-02-20 07:00:00,10,raw_NTU_plus_50pct,0.173444464802742,0.005183741450309753,0.06161558499248923
2026-02-20 07:00:00,10,alum_plus_10pct,0.16826072335243225,0.0,0.0
2026-02-20 07:00:00,10,alum_minus_10pct,0.16826072335243225,0.0,-0.0
2026-02-20 07:00:00,12,baseline,0.16205275058746338,0.0,
2026-02-20 07:00:00,12,raw_NTU_plus_20pct,0.16205275058746338,0.0,0.0
2026-02-20 07:00:00,12,raw_NTU_plus_50pct,0.2638431489467621,0.1017903983592987,1.256262519337618
2026-02-20 07:00:00,12,alum_plus_10pct,0.16205275058746338,0.0,0.0
2026-02-20 07:00:00,12,alum_minus_10pct,0.16205275058746338,0.0,-0.0
